name,name_en,category,is_restricted,restrict_info
에틸헥실팔미테이트,Ethylhexyl Palmitate,에몰리언트,FALSE,
하이드로제네이티드폴리아이소부텐,Hydrogenated Polyisobutene,에몰리언트,FALSE,
트라이에틸헥사노인,Triethylhexanoin,에몰리언트,FALSE,
다이부틸아디페이트,Dibutyl Adipate,에몰리언트,FALSE,
카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,에몰리언트,FALSE,
해바라기씨오일,Helianthus Annuus Seed Oil,에몰리언트/항산화,FALSE,
돌콩오일,Glycine Soja Oil,에몰리언트,FALSE,
호호바씨오일,Simmondsia Chinensis Seed Oil,에몰리언트,FALSE,
토코페롤,Tocopherol,항산화제/비타민E,FALSE,
토코페릴아세테이트,Tocopheryl Acetate,항산화제/비타민E,FALSE,
비에이치티,BHT,항산화제,FALSE,
베타-카로틴,Beta-Carotene,항산화제,FALSE,
폴리글리세릴-10라우레이트,Polyglyceryl-10 Laurate,유화제,FALSE,
폴리글리세릴-4라우레이트,Polyglyceryl-4 Laurate,유화제,FALSE,
폴리글리세릴-10올리에이트,Polyglyceryl-10 Oleate,유화제,FALSE,
하이드로제네이티드레시틴,Hydrogenated Lecithin,유화제,FALSE,
C12-20알킬글루코사이드,C12-20 Alkyl Glucoside,유화제,FALSE,
아라키딜글루코사이드,Arachidyl Glucoside,유화제,FALSE,
솔비탄아이소스테아레이트,Sorbitan Isostearate,유화제,FALSE,
소듐메틸스테아로일타우레이트,Sodium Methyl Stearoyl Taurate,유화제,FALSE,
옥틸도데세스-16,Octyldodeceth-16,유화제,FALSE,
데실글루코사이드,Decyl Glucoside,계면활성제/유화제,FALSE,
카보머,Carbomer,점증제,FALSE,
잔탄검,Xanthan Gum,점증제,FALSE,
폴리아크릴레이트-13,Polyacrylate-13,점증제,FALSE,
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,Glyceryl Acrylate/Acrylic Acid Copolymer,보습/점증제,FALSE,
피브이엠/엠에이코폴리머,PVM/MA Copolymer,점증제/피막형성제,FALSE,
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,Ammonium Acryloyldimethyltaurate/VP Copolymer,점증제,FALSE,
암모늄폴리아크릴로일다이메틸타우레이트,Ammonium Polyacryloyldimethyl Taurate,점증제,FALSE,
아크릴레이트/암모늄메타크릴레이트코폴리머,Acrylates/Ammonium Methacrylate Copolymer,점증제,FALSE,
덱스트린,Dextrin,점증제/피막형성,FALSE,
실리카,Silica,흡착제/질감조절제,FALSE,
트로메타민,Tromethamine,pH 조절제,FALSE,
소듐시트레이트,Sodium Citrate,pH 조절제,FALSE,
시트릭애씨드,Citric Acid,pH 조절제/AHA 계열,FALSE,
알지닌,Arginine,pH 조절제,FALSE,
다이소듐이디티에이,Disodium EDTA,킬레이트제,FALSE,
마데카소사이드,Madecassoside,진정/재생제,FALSE,
마데카식애씨드,Madecassic Acid,진정제,FALSE,
아시아티코사이드,Asiaticoside,진정/재생제,FALSE,
아시아틱애씨드,Asiatic Acid,진정제,FALSE,
병풀추출물,Centella Asiatica Extract,진정/재생제,FALSE,
병풀뿌리추출물,Centella Asiatica Root Extract,진정/재생,FALSE,
병풀잎추출물,Centella Asiatica Leaf Extract,진정/재생,FALSE,
스테아릴글리시레티네이트,Stearyl Glycyrrhetinate,진정/항염,FALSE,
다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,진정/항염,FALSE,
쇠비름추출물,Portulaca Oleracea Extract,진정/항산화,FALSE,
버지니아풍년화추출물,Hamamelis Virginiana Extract,진정/수렴,FALSE,
말라카이트추출물,Malachite Extract,항산화/진정,FALSE,
황금추출물,Scutellaria Baicalensis Root Extract,진정/항산화,FALSE,
모란뿌리추출물,Paeonia Suffruticosa Root Extract,진정/항산화,FALSE,
녹차씨추출물,Camellia Sinensis Seed Extract,항산화/진정,FALSE,
향기제비꽃잎추출물,Viola Odorata Leaf Extract,진정/항산화,FALSE,
서양송악잎/줄기추출물,Hedera Helix Leaf/Stem Extract,진정/항산화,FALSE,
하이드롤라이즈드치자추출물,Hydrolyzed Gardenia Florida Fruit Extract,진정/항산화,FALSE,
하이드롤라이즈드삼색제비꽃추출물,Hydrolyzed Viola Tricolor Extract,진정/항산화,FALSE,
향부자추출물,Cyperus Rotundus Root Extract,진정,FALSE,
당근추출물,Daucus Carota Sativa Root Extract,항산화,FALSE,
서양배추출물,Pyrus Communis Fruit Extract,보습/항산화,FALSE,
멜론추출물,Cucumis Melo Fruit Extract,보습/항산화,FALSE,
망고추출물,Mangifera Indica Fruit Extract,보습/항산화,FALSE,
치자추출물,Gardenia Florida Fruit Extract,항산화/진정,FALSE,
하이드롤라이즈드맥아추출물,Hydrolyzed Malt Extract,보습/피부 컨디셔닝,FALSE,
효모발효물,Saccharomyces Ferment,보습/피부 컨디셔닝,FALSE,
락토바실러스발효물,Lactobacillus Ferment,보습/피부 컨디셔닝,FALSE,
해수,Sea Water,미네랄 공급,FALSE,
다마스크장미꽃수,Rosa Damascena Flower Water,향료/진정,FALSE,
연필향나무오일,Juniperus Virginiana Oil,향료/진정,FALSE,
광곽향오일,Pogostemon Cablin Oil,향료,FALSE,
불가리스쑥오일,Artemisia Vulgaris Oil,향료/진정,FALSE,
로즈마리잎오일,Rosmarinus Officinalis Leaf Oil,향료/항산화,FALSE,
오리스뿌리추출물,Iris Florentina Root Extract,향료,FALSE,
아데노신,Adenosine,주름개선 기능성,FALSE,
레티놀,Retinol,비타민A 계열,TRUE,함량 기준 고시 원료 (레티놀 2500IU/g 이하)
살리실릭애씨드,Salicylic Acid,BHA 계열,TRUE,사용 농도 제한 (2% 이하)
아세틸테트라펩타이드-11,Acetyl Tetrapeptide-11,펩타이드 계열,FALSE,
