name,brand,category,subcategory,oliveyoung_id,oliveyoung_rank,source_url,raw_ingredients_text
웰라쥬 리얼 히알루로닉,웰라쥬,skincare,toner,A000000188874,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188874&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12,"하이드롤라이즈드하이알루로닉애씨드(932601.50052ppm), 글리세린, 프로판다이올, 하이드로제네이티드레시틴, 소듐하이알루로네이트(1.0052ppm), 1,2-헥산다이올, 알지닌, 벤질글라이콜, 베타인, 부틸렌글라이콜, 카프릴릴/카프릭트라이글리세라이드, 시트릭애씨드, 다이메틸실란올하이알루로네이트, 다이소듐이디티에이, 에틸헥실글리세린, 글라이신, 히스티딘, 하이알루로닉애씨드(1.00001ppm), 하이드롤라이즈드글라이코사미노글리칸(0.0056ppm), 하이드롤라이즈드소듐하이알루로네이트(1.5ppm), 하이드록시프로필트라이모늄하이알루로네이트(0.80012ppm), 라이소레시틴, 포타슘하이알루로네이트, 세린, 소듐아세틸레이티드하이알루로네이트(0.400002ppm), 소듐시트레이트, 소듐하이알루로네이트크로스폴리머(0.801ppm), 소듐하이알루로네이트다이메틸실란올, 소듐피씨에이, 소듐스테아로일글루타메이트, 수크로오스라우레이트, 토코페롤, 정제수, 잔탄검"
넘버즈인 3번 보들보들 퍼스트 결부스팅 토너,넘버즈인,skincare,toner,A000000250711,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250711&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,"비피다발효용해물, 갈락토미세스발효여과물, 정제수, 부틸렌글라이콜, 다이글리세린, 나이아신아마이드, 펜틸렌글라이콜, 1,2-헥산다이올, 글리세린, 소듐하이알루로네이트, 황련추출물, 백미꽃추출물, 접시꽃추출물, 붉은토끼풀꽃추출물, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 다이프로필렌글라이콜, 메틸프로판다이올, 라피노오스, 합성왁스, 프로판다이올, 스쿠알란, 아데노신, 하이드로제네이티드레시틴, 알란토인, 폴리글리세릴-10스테아레이트, 판테놀, 다이포타슘글리시리제이트, 세라마이드엔피, 콜레스테롤, 스테아릭애씨드, 에틸헥실글리세린, 팔미틱애씨드, 코직애씨드, 토코페롤, 아이소펜틸다이올, 바쿠치올, 하이드록시에틸셀룰로오스, 에틸헥실팔미테이트, 세틸에틸헥사노에이트, 폴리글리세릴-10올리에이트, 다이소듐이디티에이, 잔탄검, 카라멜"
라네즈 크림스킨,라네즈,skincare,toner,A000000211003,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211003&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=14,"정제수, 부틸렌글라이콜, 글리세린, 메도우폼씨오일, 아이소펜틸다이올, 1,2-헥산다이올, 스쿠알란, 폴리글리세릴-10스테아레이트, 글리세릴스테아레이트시트레이트, 소듐스테아로일글루타메이트, 이눌린라우릴카바메이트, 글리세릴카프릴레이트, 에틸헥실글리세린, 프로판다이올, 다이소듐이디티에이, 카보머, 만니톨, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 녹차추출물, 잔탄검, 세라마이드엔피, 동백나무꽃추출물, 토코페롤, 아세틸테트라펩타이드-11"
토니모리 원더 세라마이드 모찌 토너,토니모리,skincare,toner,A000000224086,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224086&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=15,"정제수, 다이프로필렌글라이콜, 글리세린, 펜타에리스리틸테트라아이소스테아레이트, 글리세레스-26, 1,2-헥산다이올, 마카다미아씨오일, 페닐트라이메티콘, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 스타이렌/브이피코폴리머, 에틸헥실글리세린, 병풀추출물, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 카프릴릭/카프릭트라이글리세라이드, 알란토인, 하이드로제네이티드레시틴, 프로판다이올, 판테놀, 피토스테릴/옥틸도데실라우로일글루타메이트, 세라마이드엔피(5,000 ppb), 소듐하이알루로네이트, 로즈우드오일, 레몬껍질오일, 다이소듐이디티에이, 리날룰, 리모넨"
파티온 포도당 하이드로 에센스토너,파티온,skincare,toner,A000000222849,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222849&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=16,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 에리스리톨, 자일리톨, 트레할로오스, 알지닌, 카보머, 에틸헥실글리세린, 하이드롤라이즈드스클레로튬검, 다이소듐이디티에이, 카프릴릭/카프릭트라이글리세라이드, 시어버터, 올리브오일, 하이드로제네이티드레시틴, 스쿠알란, 글리세릴글루코사이드, 프로판다이올, 콜레스테롤, 세라마이드엔피, 피토스핑고신, 토코페롤, 판테놀, 글루코오스(100 ppb), 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 시스테인, 글루타믹애씨드, 류신, 세린, 아스파틱애씨드, 글루타민, 알라닌, 트레오닌, 트립토판, 발린, 라이신, 글라이신, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 메티오닌, 프롤린, 히스티딘, 아이소류신, 페닐알라닌, 아스파라진, 타이로신, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 마그네슘피씨에이, 소듐락테이트, 카퍼트라이펩타이드-1, 수크로오스, 우레아, 칼슘클로라이드, 포타슘하이드록사이드, 오르니틴, 씨솔트, 마그네슘클로라이드, 다이포타슘포스페이트, 마그네슘시트레이트, 글루코사민에이치씨엘, 1-메틸하이단토인-2-이미드, 시트룰린, 우릭애씨드, 타우린, 포믹애씨드, 암모니아"
넘버즈인 1번 진정 맑게담은 청초토너,넘버즈인,skincare,toner,A000000190395,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190395&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=17,"정제수, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 글리세린, 감초뿌리추출물, 약모밀추출물, 카보머, 병풀추출물, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 하수오전초추출물, 베타인, 히아신스전초추출물, 판테놀, 알바수련꽃추출물"
피지오겔 DMT 에센스 인 토너,피지오겔,skincare,toner,A000000243679,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243679&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18,"정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 헥실데실에틸헥사노에이트, 펜타에리스리틸테트라에틸헥사노에이트, 변성알코올, 베타인, 사이클로펜타실록세인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이메티콘, 피토스테롤, 소듐하이알루로네이트, 트라이소듐이디티에이, 세린, 소듐피씨에이, 하이드록시에틸우레아, 알지닌, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란"
제로이드 인텐시브 크림 토너,제로이드,skincare,toner,A000000244993,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244993&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=19,"정제수, 부틸렌글라이콜, 글리세린, 시어버터, 1,2-헥산다이올, 하이드로제네이티드레시틴, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10베헤네이트/에이코사디오에이트, 다이프로필렌글라이콜, 판테놀, 다이포타슘글리시리제이트, 세테아릴올리베이트, 솔비탄올리베이트, 메틸카프로오일타이로지네이트, 징크글루코네이트, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 하이드록시아세토페논, 식물성스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 솔비탄스테아레이트, 세테아릴알코올, 글리세릴스테아레이트, 카프릴릴글라이콜, 피토스테롤, 스테아릭애씨드, 잔탄검"
바이오더마 세비엄 로션,바이오더마,skincare,toner,A000000251203,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000251203&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=20,"정제수, 글리세린, 프로판다이올, 폴리솔베이트20, 살리실릭애씨드, 부틸렌글라이콜, 트라이소듐에틸렌다이아민다이석시네이트, 시트릭애씨드, 펜틸렌글라이콜, 소듐하이드록사이드, 말굽잔나비버섯추출물, 향료, 다이프로필렌글라이콜, 만니톨, 소듐메타바이설파이트, 자일리톨, 람노오스, 소듐하이알루로네이트, 잔탄검, 프로필갈레이트, 사코신, 아미노에탄설피닉애씨드 (BI 727 V2)"
닥터지 레드 블레미쉬 10-시카 캡슐 수딩 토너,닥터지,skincare,toner,A000000252322,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000252322&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=21,"정제수, 편백수, 프로판다이올, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 에리스리톨, 펜틸렌글라이콜, 스트렙토코쿠스테르모필루스발효물, 효모발효여과물, 옥수수전분, 사과즙, 백미꽃추출물, 병풀잎추출물(2.1ppm), 비피다발효여과물, 락토바실러스발효물, 병풀꽃/잎/줄기추출물(1.0ppm), 병풀뿌리 추출물(1.0ppm), 접시꽃추출물, 페퍼민트잎수, 병풀추출물(0.02ppm), 판테놀,젤란검, 알란토인, 베타인, 하이드록시아세토페논, 칼슘클로 라이드,소듐클로라이드, 아데노신, 데하이드로잔탄검, 만델릭애씨드, 트레할로오스, 셀룰로오스검, 소듐시트레이트, 메틸다이아이소프로필 프로피온아마이드,세라마이드엔피, 솔비톨, 스테아릭애씨드, 하이 드로제네이티드레시틴,실리카, 에틸헥실글리세린, 다발방패버섯추출물, 베타-글루칸, 마데카소사이드(0.18ppm), 아시아티코사이드(0.002ppm), 마데카식애씨드(0.002ppm), 아시아틱애씨드(0.0008ppm)"
아누아 피디알엔 100 히알루론산 부스터 토너,아누아,skincare,toner,A000000231891,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231891&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=22,"정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 사탕수수추출물, 자일리틸글루코사이드, 돌콩추출물, 말라카이트추출물, 자일리톨, 인도멀구슬나무잎추출물, 백미꽃추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 접시꽃추출물, 알로에베라꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 가지열매추출물, 홀리바질잎추출물, 참산호말추출물, 울금뿌리추출물, 1,2-헥산다이올, 베타인, 하이드록시아세토페논,판테놀, 에틸헥실글리세린, 안하이드로자일리톨, 알란토인, 소듐디엔에이, 다이프로필렌글라이콜, 옥탄다이올, 포스파티딜콜린, 토코페롤, 하이알루로닉애씨드/하이드롤라이즈드콜라겐크로스폴리머, C12-13알케스-9, 다이포타슘포스페이트, 아세틸글루타민, 카퍼트라이펩타이드-1, 셀룰로오스검, 다이소듐이디티에이, 잔탄검"
라운드랩 자작나무 수분 토너,라운드랩,skincare,toner,A000000157178,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157178&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=23,"정제수, 글리세린, 프로판다이올, 글리세레스-26, 펜틸렌글라이콜, 자작나무수액(10,000ppm), 1,2-헥산다이올, 아이리쉬모스추출물, 사탕수수추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 판테놀, 트로메타민, 다이포타슘글리시리제이트, 글리세릴카프릴레이트, 글리세릴글루코사이드, 부틸렌글라이콜, 아스코빅애씨드, 카보머, 잔탄검, 다이소듐이디티에이"
에스트라 에이시카365 수분토너,에스트라,skincare,toner,A000000218549,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218549&dispCatNo=100000100010013&trackingCd=Cat100000100010013_MID&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=24,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 글루코노락톤, 트로메타민, 잔탄검, 에틸헥실글리세린, 레시틴, 소듐메타포스페이트, 폴리글리세릴-10올리에이트, 소듐하이알루로네이트, 3-O-에틸아스코빅애씨드, 징크피씨에이, 폴리글리세릴-4카프레이트, 아시아티코사이드, 마데카식애씨드, 글리세릴카프릴레이트, 아시아틱애씨드, 마데카소사이드, 소듐트라이메타포스페이트, 프로필렌글라이콜, 토코페롤, 쌀겨오일"
